review_id,business_id,business_name,city,state,primary_cuisine,stars,date,text
Rtw--aLDMSvk4y_WxV-ZUg,7wpTBtY2kiMXmW42zvL-fw,Shishkabob House,Kenner,LA,Middle Eastern,5.0,2017-07-28 18:11:37,The best middle eastern restaurant in this area!! Food is great and consistent!! Makes my tummy happy!!!
nYFpOY84gzeAz7ujVP8oaw,kPG6r0h73sPgXBei0MyzYg,Numchok Wilai,Edmonton,AB,Thai,5.0,2017-05-26 00:44:54,Was in town for a week and came by this little hole in the wall. The pa nang chicken was excellent. I ordered one star spicy and it came quick. Will definitely return.
x-1wBBwja9l2Hr5bgqsG0A,mQvRi0nm84Www71d4qOheQ,Ekta Indian Cuisine,Bryn Mawr,PA,Indian,5.0,2016-07-03 21:13:10,Excellent food. We tried three appetizers and five entries and all of them were a hit. This prices are reasonable and the service is good. I'd go back again and again.
_-D9UYciNNTIe6amQAsJUg,o7cD_sDA-Evj3Oh0zeH9nQ,Asian Pho,Reno,NV,Vietnamese,1.0,2015-03-18 18:28:22,"Hands down the worst chicken and rice plate I've ever had. When I ordered I was told there was no sauce on the chicken (as I wanted, healthy). I ordered to go, by the time I reached the car the bag was full of oil spilling out of the container. There was easily 5-7 tablespoons of oil on the dish. Not what I was told and not what anyone would ever want to eat. Horrible. Their slogan even has the word healthy in it. What a joke."
vdtWa5Ym9ImeMMOHwnIfrw,wqj6JquckEOs1h7rs376kQ,Pho King,Edmonton,AB,Vietnamese,4.0,2013-01-27 18:10:56,"I can only comment on the vermicelli bowls because I have never had the Pho. The vermicelli are a decent size and a fair price. Conveniently located if you live in the Alberta Ave neighbourhood, my orders have always been ready in 15 minutes - even on a Friday night."
pBN8yjaejKMzIWQs1zIyzQ,QvjY9esYNRMe_5kvT6TC5g,Chaat and Chai,Philadelphia,PA,Pakistani,5.0,2015-12-20 19:40:06,"This place is a gem.Attractive space, great location near Broad Street line, plenty on street parking. BYOB. I've been twice and enjoyed every dish. Highlights were the chaats, beef short ribs, lamb vindaloo, beet salad, breads/pickles, and chai. We got the chocolate cake for the table to share each time and everyone loved it. Can get takeout beer at the corner bar. We'll be back."
_u331rYIp7qJ7aWvLup9Ug,wa_bwyY57etHjtJ2Fw0E3g,Pita Jungle,Tucson,AZ,Mediterranean,5.0,2014-04-01 05:00:09,Called in a Mediterranean chicken shawarma. Good flavor and they were generous with the amount of chicken in the pita. The food was ready to go when I arrived. Good service. I would revisit the next time I am in the area.
J4bewYavb3HEhYkEOc3QFQ,ehnMcJZlx29XMroxMd3-mQ,Spice-n-Grill,Saint Louis,MO,Pakistani,4.0,2013-12-29 18:26:30,"Spice n Grill has the best Indian food in St. Louis. We had the beef nihari, palak paneer, and naan. The palak and beef were perfectly spiced, adequately spicy, and crave-worthy. I've never had a nihari dish before and I will be sure to try it again. The restaurant doesn't have great seating in the store, so I will take food to go next time. The owner served us and he was very nice, but I don't think people eat in the restaurant very often. I was so excited to see that the previous owners of 'Indian Food' have opened a new restaurant and I would recommend it if you're in the mood for delicious take-out."
Vou3XAgjYJBuCO_-h1OQaA,eaDZlSuVS0EY67Ke6pRP6Q,Penang,Philadelphia,PA,Thai,5.0,2011-04-23 00:52:05,Absolutely wonderful food & service! Go there for lunch/dinner with my boyfriend at least once every two weeks. Prices are very much reasonable. Weekends get pretty packed so may have to wait a little bit but that's never an issue for us. Always get the Indian Pancake & the Hainanese Chicken or Curry Chicken. Other dishes are delicious as well. Never get tired of it!
RC8D-iY19aZFHXUHaS8xLg,-OIUunijjcq_ZzyyQhPPFQ,Zorba's Taverna,Philadelphia,PA,Mediterranean,1.0,2012-09-10 17:07:50,"I got the gyro ""platter"" for lunch, which was dry, uninspired, and nothing like a deconstructed gyro. Worst of all, it came with ""vegetables"" which looked more like poop. Tasted that way, too. There are better places in Fairmount for lunch, and they won't serve you poop, either."
NyJwwd6Ylajd9sVAaIZ9Iw,gZqFuqTjtN4Bfh-_fO315w,Tandoor & Tikka,Indianapolis,IN,Indian,5.0,2018-06-19 15:52:49,Very impressed with this place! The food was amazing. Quick service chipotle style line ordering but with high-quality Indian food. Also the staff was super helpful in helping me decide what to get since I'm an Indian food newbie. Can't wait to eat there again!
YQtuP2OsLItDgSyEu5wfHA,lwdkX7KcibM4mDqpDfK7JA,Kalamatas - Green Hills,Nashville,TN,Mediterranean,2.0,2017-09-20 16:49:23,"Had a falafel wrap here a few years ago. Not bad, so tried it again today. No flavor, except extreme saltiness! The falafels & pita = no flavor. I was hoping the tzatziki sauce would pull it all together, nope! It had no flavor either. It wasn't like the sauce you'd imagine, but more like a thin tasteless glue. Only good part about the wrap were the fresh diced cucumber & tomato, too bad that was underneath the icky white sauce that doesn't even deserve to be called tzatziki : ("
juzhoSPzFupje-RYJ4VPpQ,9V0LMtO1riRw9-pUuG4NFg,Delicia,Indianapolis,IN,Caribbean,3.0,2014-06-28 18:40:49,"In short, the food was decently good, but completely overpriced. The guacamole and my Mojito were probably the highlight of the meal. I had the peach pork medallions, which were nicely cooked, but lacked flavor. I tried the corn cakes with Barbacoa and that was pretty good. The atmosphere was inviting with a hip feel if that's what you're looking for. What was really annoying was the parking situation. For a place with price points such as these and limited parking spaces, a valet service should be provided either at a cost or complimentary. Don't even try and park in the back of the building, it's tight and dangerous even getting there and back. I ended up parking three blocks away and broke a sweat walking in the dead of summer to the front entrance."
qeSxL-POvGLZD6aQ5O9kvw,yE1raqkLX7OZsjmX3qKIKg,Butcher & Bee,Nashville,TN,Middle Eastern,1.0,2017-09-09 00:09:15,"--------DINNER REVIEW---------- I rarely write reviews, but this honestly was one of the worst group dining experiences I've ever had. It was objectively a horrible experience, even without comparing it to the hype it receives, and ruined what was supposed to be a nice birthday dinner celebration. We had a group of 8 that had a reservation made well in advance. Short wait, but not too bad. Keep in mind, it seemed like a normal Friday night, but weren't super busy or at-capacity. It was a birthday dinner, so I told the hostesses that it was her birthday, and asked if they could bring out something for her at the end of the meal, which was acknowledged. Pretty standard stuff, whether at a Applebee's or the French Laundry. We were sat at a booth right next to the Maitre D' stand, and next to all the wait staff's home base, so pretty much no excuse for not getting any attention. After getting us waters, it took them a LONG time to even come by and acknowledge us. After ordering wine, it took them another good 15-20 minutes to even bring us our wine, and no one even checked in on us! (hint: if you're running a restaurant, wine is your profit center and doesn't take any work other than taking a bottle off a shelf and opening it. bring it out ASAP...). After ordering food, it was more of the same...a long wait for food to start coming out and no one checking in on us AT ALL. We drank the bottles we ordered and had to get up and flag someone down to get another wine order. A couple of us even got up during the meal to remind them to bring out something for birthday girl at the end of the meal. Once our meal was done and taken away, we were given dessert menus and the server disappeared for 10-15 minutes... AGAIN. After coming back, he asked what dessert we wanted, so we ordered some coffees... and waited... and waited. Eventually we got up and asked him what was going on and if they were going to bring anything out like we asked multiple times. They finally brought out a couple of cookies with a candle... In summary, the food was pretty hit or miss, pretty mediocre for this price point. Whipped feta, like other reviews have said, was amazing, and the Braised Lamb was really good. But the Sirloin was chewy and bland and the Grilled Caesar tasted like a soggy, luke-warm, wilted mess (two orders were left untouched by a group of 8). Atmosphere was nice and trendy. But the service, which is a huge reason to spend your hard-earned $ at a restaurant, was absolutely horrendous. I really love going to cool, popular restaurants and having a great time, and I hate writing such a negative review, but I had to share my experience, especially for a restaurant that is getting an awful lot of (undeserved) hype."
nDH6ctdQskr7_V_ot3_mVw,mUIBtlWNPD7sz3rGGWQ1RA,Kanella,Philadelphia,PA,Mediterranean,5.0,2013-08-03 15:34:15,"I moved from Chicago to Philadelphia over a year ago. Everybody here raves about the restaurants, but I have yet to find many that deserve five stars, or even four. This is the best restaurant I have eaten in in Philadelphia. Tahini and bread arrived at the table, and I thought, hum, plain but I'm hungry. They must put crack in that Tahini. I wanted to lap it out of the bowl like an uncouth dog. The bread is excellent too. I love a menu with many organic meat choices. How often can you order an organic beef shishkabob? It was superb. The meat done perfectly, the onions nearly caramelized but not quite so they still had some substantive crunch. The purslane salad tasted like I was eating a plant in the middle of a garden. It is not often that I dream about a salad but I do dream about this one My husband had a chicken dish with black eyed peas and green peas and fantastic rice. I won't begin to describe the flavoring; it is beyond my culinary vocabulary. We asked what spices they use, and in addition to traditional zatar, they use their own blend of spices. I don't even need to know what is in it just so long as we can keep coming back and ordering it again and again. I was so full but ate dessert none the less, which I usually don't do. But when a diner is this good, I had a feeling the desserts would be too and I just needed to find out. Pistachio creme brulee. It could have come out over the top, but no indeed. It was pure pistachio heaven in s super light yet rich custard. Heaven. Heaven. Our service was superb. The squeezed us into a last minute Friday night reservation with the caveat that we would need to get through our dinner in an hour and 15 minutes in order to accommodate a reservation made prior to us. Given the time constraints they never made us feel rushed and timed the meal perfectly. Then my husband left to go to the restroom, the waiter picked up his napkin and refolded it nicely on the table. Do I care about the napkin placement in the middle of a meal? Not really, but it is a sign that the waitstaff is incredibly attentive and extremely well trained. My eating out plan for Philly might just be to skip eating most everywhere most of the time so I can frequent this expensive, though appropriately priced restaurant. Kudos to the chef."
2xlNGuN8naQTHO3_xY0lGw,yDiWYpuzRxcTgSi_O4JZpQ,Masala Kitchen,New Castle,DE,Indian,5.0,2017-03-27 13:27:52,"This is the place for authentic Indian street food. I've been here multiple times ordering different things ranging from bhel puri, pav bhaji, vada pav, deconstructed samosa and aloo tikki, dabeli, kulfi and more. Everything was made exceptionally well. I regret not having found this place sooner."
eY8zc9p7Kiv9ATEtNqAdaw,dDn_NVOQh9F-t153S035Ew,Rice Box,Goodlettsville,TN,Thai,5.0,2017-09-09 02:04:25,The food here is so great and fresh. I don't shy away from my kids favorite Wonton Soup because i know they take the time to cook it.
_Dkml_CfMMb_wWeGpFtczg,W6S482dRQ_9nCcLjfv8VNg,Bawarchi Indian Restaurant,Wilmington,DE,Indian,1.0,2016-07-04 04:17:15,Food was great. But very disappointed with the hospitality. We entered the restaurant at 9:15 pm but was denied dine in and was told that though the restaurant closes at 10 pm they won't let us dine in and can give only to go. They saw that there were two pregnant women and a kid with us and I explained that our home is a hour drive from there and yet they denied for no reason. I had to drive back to home and make everyone eat. Very disappointed with such attitude towards customers. Never going back here. Let them try to forgive them self for denying dining for pregnant women.
T3Rcd5y51bm_6A6_4DN79Q,SwWfW3vBn5QkDE7T3urGAg,Persis Biryani Indian Grill,Mount Juliet,TN,Indian,5.0,2015-10-17 03:02:08,Best Indian I have ever had! The food was fresh and delicious. Staff are very friendly and attentive and restaurant is clean and welcoming. The paleek paneer and briyani were amazing!
rJ2fUIf-Q7AGx79thOUjMg,8-j10_I745ITrczbkfD-Pw,Desi Village Indian Cuisine,King Of Prussia,PA,Pakistani,4.0,2016-08-25 13:50:44,"I have been a patron of Desi Village in West Philly for years. After moving the suburbs, we saw the KOP Desi Village and finally tried it. We were skeptical having also tried Mood Cafe (owned by the W.Philly folks), and it wasn't as good. But the KOP location is actually very comparable to the West Philly location. There is no ambiance or atmosphere here. The strip mall where it's located is pretty depressing. Desi Village may be the only active store in it. And its decor is tired and old. It is a big space and it appears they do a big lunch buffet but I'm curious if it's ever full. So don't go for the ambiance. But the food is good. We ordered some Keema Naan, Samosas, Saag Paneer, and Lamb Biryani. All of it was really good. Perfectly seasoned, not too oily, and appropriately spicy. I have a nut allergy and made them aware of that and they did not screw it up (most Indian restaurants do). So we'll definitely be back. It would be great if they moved into nicer digs but the food is what is most important."
2xIYKNiMuDpF2wWjT1RIKg,o2ETM4XZXENkzuAaYT2GIg,Sen Thai Asian Bistro,St Louis,MO,Thai,4.0,2018-04-15 14:49:21,"Great atmosphere and decor. Super friendly staff seat you right away. I stopped once for lunch and one time for dinner. They have some lunch specials one of which was Pad Thai. I order with chicken as the protein but they have the typical options for this . The portion was good for lunch and had good flavor. For dinner I ordered the chicken satay to start and the Panang Curry with chicken for main course. I was very disappointed in the satay being that you only get two small skewers. The flavor and peanut dipping sauce were very good but they give a few more skewers. The Panang was good and you get a good size portion of rice. On a side note, I was disappointed they do not have Pad See Ew. Still some other options on the menu I will return to try. The staff and manager really know customer service. Look forward to returning soon!"
NeTum-oNTUbCwMKxh1aQag,t-bcEvAM8oE92tm9HBr7wQ,Petra Restaurant,Tampa,FL,Middle Eastern,4.0,2014-05-24 19:02:05,"We randomly decided to look for middle eastern food. Came up with Petra Restaurant near our home. Tried it with my family and liked it quite a bit. Try their Friday and Saturday special rice (it actually test like Indian fried rice) with lamb. Really tasty. Other things are very good too. Don't be discouraged with the location of the place, but food is good and inside of the restaurant is quite nice. Service is good too."
0UnK7dQKT3ogC2sBCeYWLA,vje0KIiE7vtpx7JzmBx5LQ,The Pearl,Treasure Island,FL,Mediterranean,5.0,2015-10-08 13:21:55,"I went to the pearl for my birthday and every detail of the experience was awesome! The food, the wine and the service were all impeccable! We didn't realize the time and were chatting away after closing time and the staff never made us feel rushed."
1KPGzX7SK6-F1AuLCOZvbw,wa_bwyY57etHjtJ2Fw0E3g,Pita Jungle,Tucson,AZ,Mediterranean,2.0,2017-05-26 21:44:54,"Wow have things changed at this location. I used to come here on a regular basis with a friend. I haven't been back in over a year and so couldn't wait to have lunch today. I was surprised at the deterioration in customer service...,.our server didn't smile, was unwilling to give a recommendation and didn't offer us a tea to go. When I used to come, every server was friendly, gave suggestions and always offered a tea to go. The food was okay and probably would have been better if we had been treated better. I noticed there was tape on the benches where the leather/vinyl is wearing out; this looks tacky. This used to be my favorite lunch spot; this is no longer the case. I will not be back."
jAhIJTYtHsZKSvGknSwMcg,18eWJFJbXyR9j_5xfcRLYA,Siam Elephant,Carpinteria,CA,Thai,4.0,2011-02-15 04:43:45,Real Thai food and they'll make it spicy if you ask for it pet pet. I really like both their soups. The curries have excellent flavor but they can seem runny if you're not used to Thai curries. I'm not super thrilled with the eggrolls but my girlfriend always gets the veggie ones. Perhaps the meat ones are better.
0NC0xZyq4EQgUZvvWiFraQ,1_nd9Hcswx4K4FmZZQPMVw,Rosemary's Grill,Langhorne,PA,Middle Eastern,5.0,2014-02-24 11:13:47,"Rosemary's Grill is my favorite resaurant. My wife and I take my Mother in law to Rosemary's Grill often for many reasons. Their menu is extensive. You can get Classic American food in many categories prepared fresh and delicious with great care and attention to detail that is lacking in common chain restaurants. You can also get traditional Turkish cuisine that is the very best kebab that I ever had. Rosemary's is a family owned business and they treat you like you are part of that family. We are making Rosemary's our Saturday night place. last weekend my wife and I took my. Mother in law to Rosemary's Grill for dinner. It was even better that the time before. I tried the Mixed grill kebab platter. Lamb, Chicken, Adana, and gyro kebab meats, so tender and expertly spiced and grilled, along with a shepherds salad, grilled half tomatoes, rice, and of course flat bread. The Adana kebab was particularly tender, juicy, and tasty. I had never had Adana kebab before and will be ordering it again. I shared a taste with my Mother in law and she loved it too! mom in law had crab cakes and she enjoyed them very much. My wife had the French onion soup, which she raves about and always orders. She also had the roast turkey, mashed potatoes, cranberry sauce, and corn. She loved everything on that platter. She commented that the gravy was especially good. The portion sizes are huge and we love to have the left overs again at home. I have honestly not been to a restaurant in the area that has such good quality in all there entrees, sides, salad bar, and drinks, and you have to try the rice pudding. We have eaten a few times here for breakfast, lunch, and dinner and it continues to be our very favorite place. The waitstaff and owners make you feel right at home and are warm, welcoming, and friendly. I can not say enough good things. Sent from my iPad"
nhfB-ssDwJxbpAUjlE889A,t-bcEvAM8oE92tm9HBr7wQ,Petra Restaurant,Tampa,FL,Middle Eastern,3.0,2017-05-26 03:20:52,"We have big group of 12 for the office outing lunch. I would said for the number of people we have, the service is not the best but good enough. Only one of our members get the food late. The close out may need to work on it. Tip was added since we have large group which may my bill easy. I have order the lamb kebab (Shish Kebab) plate. It come with two choices of side. I got the rice and the babaghanoush. The rice was well cook and nice aroma. The babaghanoush was well prepared and great with extra olive oil. The presentation of the dish is pleasant. However, the meat did not measured up. It was too dry and the marinated is not over the top. They need to improve on this area. I have been here several time. My previous experience is better. During the month of Ramadan, they serve the buffet that are plenty of choices and attractive. I would said try them during this time. The buffet of Ramadan usually start at 8:30. Go early because is a lot of customers."
wR6Bl-Vywqd56UaogCcWNg,rQW9iupvhk6ScPn2VPNLVQ,Octopus Falafel Truck,Philadelphia,PA,Middle Eastern,5.0,2016-10-26 15:50:57,"After trying twice unsuccessfully to get there early enough to get a meal within 20 minutes, I finally was able to break away from work and was 5th in line. I had heard of the ""food truck nazi"" and that it was the best in town and found Gus, the falafel nazi, as he called himself, lived up to his reputation and more. As my turn came up, I approached the cart tenuously, for I did not want to blow it by asking too many questions. He immediately recognized me as a new customer and told me all about the fresh ingredients he uses. Chicken is cooked over coal and was tender on the inside and perfectly cooked on the outside. Falafel was delicious, as were the grapes and his homemade pasta that went along with it. There was enough food for 2 people. Well worth the wait!"
e8u5K7rpzWt3CEoGmqYZNA,7EhTT4iEuA7JaaWA-eI3Qw,Seasons Cafe & Bakery,Pinellas Park,FL,Vietnamese,5.0,2016-01-04 04:42:19,"I really enjoy this little restaurant full of goodness. Primarily a dessert place, Seasons also serves up some wonderful food dishes which are largely modernized updates on traditional classics. I always enjoy the shaved ice when I come here. The kind Seasons offers is a different type of dessert that I haven't seen anywhere else. The variety of boba tea that they have is also very good. Among my favorite shaved ice are the hula and the koko loco. If you want half and half flavors of shaved ice in your cup there is an additional $1.50 charge for a large size. There are pre-designed concoctions or you could create your own configurations of toppings and flavors. The pre designed concoctions are a better deal. Seasons is situated on the end of a strip mall (across from a large shopping plaza with Regal Cinemas and Marshalls) with plenty of parking. The store itself is clean, bright, and modern and is kid-friendly as there are high hairs available for use. The service has always been friendly, fast, and efficient. Seasons employs an order at the counter, take number, and food is borough out to you when ready model. I can't comment on the food exactly but my boyfriend loves the quail and our friends enjoy the chicken wings which Boon touts as ""the best food item"" there. The quail is small and very flavorful and the wings are a good size and seasoned with five spice which was enjoyed by all. I look forward to many more visits with friends at this location. Check Seasons out and enjoy!"
EJWyA5wpdVMji1j4TwSZqQ,kxX2SOes4o-D3ZQBkiMRfA,Zaika,Philadelphia,PA,Pakistani,5.0,2010-08-20 19:16:04,"After a long hiatus from reviewing I have awaken from my 6 mouth yelp hibernation and my tummies a grumbles with an insatiable hunger for the cacophonous symphony of flavor that is Indian food. Like an all too familiar pattern, I go back to Mohammad Butt, my main man for marsala. But whats this? There are whispers that he no longer cooks for ""Best Taste of Asia,"" that he is gone, never to return; some sort of falling out. No. No, it can't be! I need to score - one .. final .. hit.. Life ceases to have meaning, existential murmurings dog the mind. Who am I? Why am I here? What is Cheeze Wiz? Its done, over, a round falls into the chamber and just as I prepare to end it all and pull the trigger- steps in ZAIKA. Zaika - meaning the art of taste - stays to to its name. This is a place where the Paneer (cheese) is made fresh in house, resulting in a cheese that's silky in texture. Especially when in contrast to the prepackaged rubbery bone-white LEGO blocks most small Indo-Pak places purchase from Indian Grocers in attempts to reduce prep-times. While at Zaika such shortcuts are not taken, the Chef takes the extra steps needed to ensure a dish comes together as a whole. For example, the Chicken Makhani uses Smokey Tandoori Chicken, which I have never seen done before but it certainly aids the chicken to cut though the rich buttery tomato sauce and elevates the dish as a whole. Even entrées like Dall Fray or Palak Paneer have so much flavor that they will leave you not missing animal protein in the least should you choose to go the vegetarian route. Zaika 's appetizers, like the Veggie Samosa and Aloo Tikki, (spiced potato patties) are generally large, peppery and well spiced - the latter of which remind me of something my own mother would make. Though I must warn others to avoid the items that occasionally pop-up as specials like the potato stuffed chili peppers, unless they have a iron stomach or are a gluten for punishment. These peppers are spicy, not deveined or even seeded. Further, I find the fish pakora to be far too fishy. I've become rather taken by Zaikia. Even the simply things such as the naan are good there. Just right in elasticity, the bread does not have too much give and yet isn't too soft. It's nothing elaborate, just properly risen with a light texture and no egg or yeast flavor. The only complaint being that it lacked that signature faint sweetness naan has. But hey, I use it mostly for mopping up the other good stuff on the plate anyway and the sweetness gets lost in the mix, so I don't mind at all. The menu has nearly 120 different items, all numbered to order by, making take-out phone orders convenient and should eliminate any fears anyone should have of a language barrier problem. Furthermore, it has short descriptions of each dish - something all ethnic places like this should have. Though some items like Lassie (a frothy yogurt drink) do not appear on the menu, that too is offered - both a salty and sweet mango verities. The head chef speaks English quite well and should be easy to deal with should you want to inquire more or want to setup large orders. I have already noticed parties negotiating catering for Ramadan as I anxiously awaited my own order. The bottom line here is this, Mohammad Butt has expanded on the menu he once created for ""Best taste of Asia,"" and taken an all HALAL meat approach. Only good things can come of this, only good things. P.S. ZAIKA is right behind Nifty Fifties on Grant Ave., so you are all set for dessert should you want a milkshake. However, I would suggest getting the Ras Malai if available. These riccotta cheese dumplings flouting in soaked in sweetened, thickened milk are delicately flavored with cardamom, a very some amount of rose water and then garnished with pistachios. They are ungodly good."
L7Z2Re-8aFOZFhfMZbt44A,SlZJATE_TGUU8X34UJNi4g,La Mulita,Indianapolis,IN,Caribbean,5.0,2015-11-06 01:35:03,"Holy Mole! That was good. Enjoyed a wonderful evening here as part of a Yelp Elite event. Got to sample a wide variety of their food, and each dish was better than the next. The cocktail -- created special for the event, I think -- was fantastic (and I'm not usually a cocktail kind of guy...). The manager and staff are as attentive, knowledgeable, and friendly as could be. Basically, I consider the whole event an enticing appetizer for a much-anticipated main course: coming back for a full meal!"
W2btfi-4gtoDDOQkZysdAw,vF32KjPs8BgltSa484P1Yg,Euro Grill,Nashville,TN,Mediterranean,5.0,2014-01-17 01:25:31,"Stopped here for lunch on the way to drop some people off at the airport. It's a bit unexpected and a tiny bit off the beaten path on a residential street just behind a business district. I chose the vegetarian plate and a Greek salad. The salad was the absolute best I've ever had. The cheese was absolutely fresh, the vegetables were fresh and chopped just for the salad, and the dressing and seasoning was perfect. The salad was quite large on its own and could easily make a light lunch by itself. The vegetarian plate came along with their fresh pita-like bread that is baked fresh every morning, seasoned, pan fried vegetables, rice, and a tzatziki-like sauce drizzled on top. The flavors were astounding, and despite a lack of desire to stuff myself silly, I did anyway. Plenty of food for lunch and very reasonably priced."
abKghvZEZue9xTHBRpZFAw,4WdDY97x4GdMYtyk1KQMnw,Lilly's Cafe,New Orleans,LA,Vietnamese,4.0,2013-11-14 01:20:24,Again for those that see my review I only give 5 stars after multiple trips. This local pho shop has an eclectic regular clientele that is loyal for a reason. Great food and very nice staff. The ingredients are so fresh. I had bun beef because I was not phongry. That is pho hungry. Highly recommend stopping in.
